,New Need AttentionID
0,12372
1,12413
2,12446
3,12458
4,12475
5,12512
6,12571
7,12631
8,12638
9,12667
10,12679
11,12694
12,12728
13,12772
14,12794
15,12822
16,12830
17,12842
18,12939
19,12944
20,13023
21,13034
22,13107
23,13109
24,13165
25,13276
26,13278
27,13292
28,13354
29,13431
30,13464
31,13487
32,13591
33,13598
34,13617
35,13726
36,13741
37,13760
38,13812
39,13865
40,13878
41,13918
42,13989
43,14001
44,14067
45,14077
46,14128
47,14158
48,14167
49,14193
50,14201
51,14229
52,14233
53,14261
54,14306
55,14357
56,14379
57,14381
58,14389
59,14409
60,14412
61,14475
62,14485
63,14488
64,14567
65,14598
66,14631
67,14690
68,14716
69,14731
70,14738
71,14754
72,14815
73,14830
74,14923
75,14937
76,14970
77,15014
78,15018
79,15062
80,15066
81,15091
82,15211
83,15215
84,15227
85,15244
86,15252
87,15255
88,15275
89,15276
90,15315
91,15320
92,15329
93,15335
94,15421
95,15478
96,15553
97,15576
98,15579
99,15651
100,15656
101,15669
102,15677
103,15706
104,15757
105,15762
106,15806
107,15807
108,15809
109,15815
110,15830
111,15835
112,15853
113,15865
114,15990
115,15994
116,16017
117,16026
118,16043
119,16052
120,16086
121,16099
122,16102
123,16120
124,16127
125,16136
126,16140
127,16184
128,16203
129,16232
130,16235
131,16243
132,16268
133,16345
134,16354
135,16357
136,16380
137,16389
138,16412
139,16413
140,16415
141,16488
142,16491
143,16518
144,16554
145,16589
146,16601
147,16602
148,16613
149,16621
150,16667
151,16734
152,16747
153,16753
154,16768
155,16774
156,16882
157,16887
158,16914
159,16932
160,16950
161,16969
162,16971
163,17004
164,17007
165,17111
166,17125
167,17169
168,17193
169,17201
170,17244
171,17344
172,17361
173,17373
174,17403
175,17418
176,17420
177,17447
178,17489
179,17520
180,17527
181,17552
182,17653
183,17679
184,17703
185,17712
186,17724
187,17733
188,17734
189,17771
190,17819
191,17839
192,17905
193,17930
194,17957
195,18008
196,18033
197,18035
198,18045
199,18067
200,18088
201,18104
202,18126
203,18136
204,18160
205,18170
206,18171
207,18192
208,18205
209,18228
